"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.02.2009","10,280","10,230","10,280","10,190","-","-0,96%"
"12.02.2009","9,950","10,180","10,250","9,950","-","-3,21%"
"13.02.2009","10,400","10,100","10,400","10,100","-","4,52%"
"16.02.2009","9,950","10,100","10,190","9,950","-","-4,33%"
"17.02.2009","9,500","9,950","9,950","9,500","-","-4,52%"
"18.02.2009","9,300","9,560","9,770","9,300","-","-2,11%"
"19.02.2009","9,230","9,520","9,550","9,230","-","-0,75%"
"20.02.2009","8,770","9,200","9,230","8,770","-","-4,98%"
"25.02.2009","8,510","8,910","9,080","8,510","-","-2,96%"
"26.02.2009","9,370","8,640","9,370","8,580","-","10,11%"
"27.02.2009","9,150","8,940","9,150","8,790","-","-2,35%"
"06.03.2009","8,590","8,330","8,590","8,210","-","-6,12%"
"09.03.2009","8,290","8,420","8,460","8,290","-","-3,49%"
"10.03.2009","8,950","8,200","8,950","8,200","-","7,96%"
"11.03.2009","9,220","8,870","9,220","8,810","-","3,02%"
"12.03.2009","9,140","8,900","9,140","8,720","-","-0,87%"
"13.03.2009","8,430","9,160","9,240","8,430","-","-7,77%"
"16.03.2009","8,530","8,660","8,690","8,530","-","1,19%"
"17.03.2009","8,590","8,500","8,590","8,100","-","0,70%"
"18.03.2009","8,430","8,570","8,710","8,430","-","-1,86%"
"19.03.2009","8,860","8,640","8,860","8,300","-","5,10%"
"20.03.2009","9,230","8,600","9,230","8,600","-","4,18%"
"01.04.2009","9,030","8,700","9,030","8,700","-","-2,17%"
"02.04.2009","9,610","9,040","9,610","9,030","-","6,42%"
"03.04.2009","10,330","9,380","10,330","9,370","-","7,49%"
"06.04.2009","9,810","10,250","10,340","9,810","-","-5,03%"
"07.04.2009","9,720","10,100","10,240","9,720","-","-0,92%"
"08.04.2009","10,380","9,660","10,380","9,620","-","6,79%"
"09.04.2009","10,970","10,480","10,970","10,380","-","5,68%"
"16.04.2009","10,850","11,160","11,280","10,850","-","-1,09%"
"17.04.2009","11,350","11,060","11,350","11,010","-","4,61%"
"20.04.2009","10,670","11,210","11,300","10,670","-","-5,99%"
"21.04.2009","10,570","10,960","11,070","10,570","-","-0,94%"
"22.04.2009","11,240","10,960","11,240","10,760","-","6,34%"
"23.04.2009","11,360","10,960","11,360","10,860","-","1,07%"
"24.04.2009","11,370","11,180","11,370","11,160","-","0,09%"
"27.04.2009","11,440","11,210","11,440","11,200","-","0,62%"
"28.04.2009","11,260","11,110","11,260","10,870","-","-1,57%"
"29.04.2009","11,810","11,300","11,810","11,120","-","4,88%"
"30.04.2009","11,740","11,540","11,740","11,450","-","-0,59%"
"05.05.2009","12,070","11,650","12,070","11,520","-","2,81%"
"06.05.2009","12,200","11,900","12,200","11,700","-","1,08%"
"07.05.2009","11,760","11,980","12,410","11,760","-","-3,61%"
"08.05.2009","11,900","12,250","12,300","11,900","-","1,19%"
"14.05.2009","11,810","11,710","11,810","11,600","-","-0,76%"
"15.05.2009","11,560","11,710","11,830","11,560","-","-2,12%"
"18.05.2009","11,910","11,520","11,910","11,500","-","3,03%"
"19.05.2009","12,410","11,820","12,410","11,820","-","4,20%"
"20.05.2009","12,740","12,500","12,740","12,280","-","2,66%"
"21.05.2009","11,950","12,450","12,490","11,950","-","-6,20%"
"22.05.2009","12,150","12,200","12,680","12,150","-","1,67%"
"25.05.2009","12,220","12,130","12,220","12,050","-","0,58%"
"26.05.2009","12,290","12,010","12,290","11,850","-","0,57%"
"27.05.2009","12,710","12,200","12,710","12,200","-","3,42%"
"28.05.2009","12,810","12,460","12,810","12,330","-","0,79%"
"29.05.2009","13,070","12,860","13,070","12,650","-","2,03%"
"02.06.2009","13,320","13,270","13,320","13,110","-","1,91%"
"03.06.2009","13,000","13,380","13,630","13,000","-","-2,40%"
"04.06.2009","13,110","13,200","13,470","13,110","-","0,85%"
"05.06.2009","13,610","13,250","13,610","13,250","-","3,81%"
"11.06.2009","13,380","13,530","13,680","13,380","-","-1,69%"
"12.06.2009","13,250","13,550","13,590","13,250","-","-0,97%"
"15.06.2009","13,070","13,310","13,330","13,070","-","-1,36%"
"16.06.2009","13,420","13,100","13,420","13,090","-","2,68%"
"17.06.2009","12,830","13,090","13,090","12,830","-","-4,40%"
"18.06.2009","13,080","13,050","13,080","12,770","-","1,95%"
"19.06.2009","13,170","13,000","13,170","12,940","-","0,69%"
"24.06.2009","13,250","12,830","13,250","12,730","-","0,61%"
