Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.000000,10.000000,9.750000,9.915000,3.105553,3367104
2000-01-04,9.915000,9.975000,9.465000,9.875000,3.140617,2409088
2000-01-05,9.900000,9.900000,9.450000,9.550000,3.037255,1868848
2000-01-06,9.550000,9.550000,9.550000,9.550000,3.037255,0
2000-01-07,9.800000,10.362500,9.550000,10.275000,3.267832,5670192
2000-01-10,10.375000,10.375000,10.217500,10.375000,3.299637,4493888
2000-01-11,10.500000,10.500000,9.977500,10.125000,3.220126,3753824
2000-01-12,10.000000,10.175000,9.812500,10.125000,3.220126,5307904
2000-01-13,10.075000,10.120000,9.612500,9.650000,3.069059,3459792
2000-01-14,9.650000,10.050000,9.650000,10.050000,3.196275,3203616
2000-01-17,9.875000,10.625000,9.875000,10.500000,3.339389,8785168
2000-01-18,10.625000,10.837500,10.415000,10.800000,3.434802,9705584
2000-01-19,10.800000,10.800000,10.412500,10.562500,3.359268,5192704
2000-01-20,10.500000,10.725000,9.995000,10.025000,3.188323,4045856
2000-01-21,10.125000,10.212500,9.825000,9.937500,3.160495,4710720
2000-01-24,10.225000,10.562500,9.887500,9.975000,3.172421,3530976
2000-01-25,9.875000,10.022500,9.512500,10.022500,3.187528,6806640
2000-01-26,10.075000,10.137500,9.712500,10.047500,3.195478,4562640
2000-01-27,9.882500,9.997500,9.600000,9.660000,3.072240,5404752
2000-01-28,9.675000,9.750000,9.450000,9.575000,3.045205,6991280
2000-01-31,9.575000,9.675000,9.450000,9.620000,3.059518,6210640
2000-02-01,9.650000,9.750000,9.437500,9.625000,3.061109,3931616
2000-02-02,9.750000,9.975000,9.500000,9.947500,3.163675,4036304
2000-02-03,9.825000,9.875000,9.625000,9.815000,3.121535,5295520
2000-02-04,9.847500,9.875000,9.687500,9.787500,3.112789,2538000
2000-02-07,9.650000,9.825000,9.650000,9.775000,3.108813,3566064
2000-02-08,9.650000,10.070000,9.650000,10.067500,3.201840,4868736
2000-02-09,9.850000,10.000000,9.815000,9.930000,3.158109,5175264
2000-02-10,9.675000,9.875000,9.675000,9.867500,3.138233,4647216
2000-02-11,9.755000,9.825000,9.565000,9.565000,3.042026,4187552
2000-02-14,9.712500,9.712500,9.375000,9.557500,3.039641,2396400
2000-02-15,9.390000,10.050000,9.390000,10.000000,3.180372,3350640
2000-02-16,10.000000,10.050000,9.550000,9.712500,3.088937,3394144
2000-02-17,9.837500,9.837500,9.575000,9.587500,3.049182,3185664
2000-02-18,9.745000,9.745000,8.777500,9.115000,2.898909,7785168
2000-02-21,9.187500,9.225000,8.750000,8.812500,2.802703,4047936
2000-02-22,8.875000,9.050000,8.825000,8.872500,2.821786,3356320
2000-02-23,8.925000,9.675000,8.827500,9.662500,3.073035,8620816
2000-02-24,9.725000,9.787500,9.250000,9.287500,2.953771,3925792
2000-02-25,9.375000,9.540000,9.037500,9.180000,2.919581,4917824
2000-02-28,9.202500,9.312500,9.125000,9.250000,2.941844,2129792
2000-02-29,9.475000,9.500000,9.250000,9.350000,2.973649,3749760
2000-03-01,9.405000,9.625000,8.837500,8.980000,2.855975,10626912
2000-03-02,9.050000,9.450000,9.000000,9.275000,2.949794,6521680
2000-03-03,9.375000,9.787500,9.255000,9.620000,3.059518,9116304
2000-03-06,9.975000,10.350000,9.650000,10.125000,3.220126,11049376
2000-03-07,10.125000,10.725000,9.925000,10.417500,3.313152,7263600
2000-03-08,10.037500,10.750000,10.000000,10.600000,3.371193,6087744
2000-03-09,10.525000,10.597500,10.050000,10.190000,3.240799,2982400
2000-03-10,10.250000,10.465000,9.792500,9.802500,3.117560,2459968
2000-03-13,9.802500,9.802500,9.802500,9.802500,3.117560,0
2000-03-14,9.820000,10.660000,9.715000,10.375000,3.299637,8420976
2000-03-15,10.362500,10.395000,9.877500,10.127500,3.220922,2455632
2000-03-16,10.127500,10.725000,10.127500,10.700000,3.402999,3543424
2000-03-17,10.562500,11.495000,10.562500,11.262500,3.581894,4322784
2000-03-20,11.000000,11.250000,10.000000,11.000000,3.498409,8136208
2000-03-21,10.865000,11.100000,10.625000,10.900000,3.466604,3969920
2000-03-22,10.900000,11.400000,10.900000,11.325000,3.601772,3633376
2000-03-23,11.087500,11.750000,10.750000,11.025000,3.506359,4487616
2000-03-24,11.375000,11.375000,11.037500,11.200000,3.562016,3273792
2000-03-27,10.925000,11.235000,10.925000,11.012500,3.502385,1484992
2000-03-28,11.162500,11.180000,10.500000,10.552500,3.356088,3936192
2000-03-29,10.800000,10.800000,10.502500,10.577500,3.364039,3147120
2000-03-30,10.595000,11.000000,10.500000,10.925000,3.474556,2685168
2000-03-31,10.550000,11.000000,10.000000,10.325000,3.283735,3917680
2000-04-03,10.625000,10.972500,10.325000,10.962500,3.486482,28573248
2000-04-04,10.750000,11.075000,10.625000,10.825000,3.490596,27172128
2000-04-05,10.950000,10.950000,10.262500,10.737500,3.462381,1361536
2000-04-06,10.627500,10.840000,10.500000,10.700000,3.450288,2894112
2000-04-07,10.687500,10.797500,10.205000,10.725000,3.458350,1898656
2000-04-10,10.775000,10.800000,10.327500,10.750000,3.466410,3287680
2000-04-11,10.747500,11.147500,10.377500,10.380000,3.347103,3344912
2000-04-12,10.775000,10.775000,10.337500,10.510000,3.389022,1350400
2000-04-13,10.377500,10.975000,10.377500,10.962500,3.534933,2194304
2000-04-14,10.750000,11.050000,10.602500,10.950000,3.530902,2127504
2000-04-17,10.252500,11.250000,10.252500,11.250000,3.627638,3275168
2000-04-18,11.000000,11.237500,10.700000,11.225000,3.619579,2945776
2000-04-19,11.250000,11.250000,10.550000,10.922500,3.522035,3417232
2000-04-20,10.975000,11.055000,10.600000,10.925000,3.522840,2816144
2000-04-21,10.925000,10.925000,10.925000,10.925000,3.522840,0
2000-04-24,10.925000,10.925000,10.925000,10.925000,3.522840,0
2000-04-25,10.875000,11.125000,10.602500,10.707500,3.452708,2068448
2000-04-26,10.675000,10.950000,10.645000,10.775000,3.474472,2203728
2000-04-27,10.987500,11.050000,10.762500,10.850000,3.498656,4574112
2000-04-28,10.875000,11.360000,10.650000,10.950000,3.530902,4761936
2000-05-01,10.950000,10.950000,10.950000,10.950000,3.530902,0
2000-05-02,11.287500,11.287500,10.850000,10.877500,3.507523,1758432
2000-05-03,10.875000,11.137500,10.627500,10.787500,3.478502,1516576
2000-05-04,10.850000,10.995000,10.712500,10.947500,3.530096,4224000
2000-05-05,10.952500,10.975000,10.780000,10.825000,3.490596,1759632
2000-05-08,10.950000,10.962500,10.850000,10.877500,3.507523,967088
2000-05-09,10.877500,10.877500,10.877500,10.877500,3.507523,0
2000-05-10,10.987500,11.200000,10.800000,11.150000,3.595394,3397520
2000-05-11,11.125000,11.697500,11.000000,11.500000,3.708253,5402000
2000-05-12,11.500000,11.620000,11.062500,11.182500,3.605873,3555120
2000-05-15,11.287500,11.287500,10.957500,11.110000,3.582495,3224832
