"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.02.2009","2,490","2,480","2,490","2,480","-","-5,32%"
"12.02.2009","2,490","2,480","2,490","2,460","-","0,00%"
"13.02.2009","2,540","2,490","2,540","2,490","-","2,01%"
"16.02.2009","2,440","2,480","2,490","2,440","-","-3,94%"
"17.02.2009","2,380","2,410","2,430","2,380","-","-2,46%"
"18.02.2009","2,320","2,400","2,410","2,320","-","-2,52%"
"19.02.2009","2,330","2,380","2,400","2,330","-","0,43%"
"20.02.2009","2,250","2,360","2,360","2,250","-","-3,43%"
"25.02.2009","2,200","2,240","2,280","2,200","-","-2,22%"
"26.02.2009","2,310","2,210","2,310","2,210","-","5,00%"
"27.02.2009","2,180","2,230","2,270","2,180","-","-5,63%"
"06.03.2009","2,120","2,060","2,120","2,010","-","-2,75%"
"09.03.2009","2,050","2,070","2,070","2,050","-","-3,30%"
"10.03.2009","1,950","2,040","2,080","1,950","-","-4,88%"
"11.03.2009","2,150","2,060","2,150","2,040","-","10,26%"
"12.03.2009","1,990","2,060","2,060","1,990","-","-7,44%"
"13.03.2009","2,060","2,090","2,130","2,060","-","3,52%"
"16.03.2009","2,160","2,150","2,160","2,140","-","4,85%"
"17.03.2009","2,110","2,150","2,170","2,110","-","-2,31%"
"18.03.2009","2,220","2,140","2,220","2,140","-","5,21%"
"19.03.2009","2,200","2,240","2,260","2,200","-","-0,90%"
"20.03.2009","2,280","2,220","2,280","2,180","-","3,64%"
"01.04.2009","2,320","2,320","2,360","2,320","-","1,75%"
"02.04.2009","2,430","2,380","2,430","2,360","-","4,74%"
"03.04.2009","2,370","2,400","2,440","2,370","-","-2,47%"
"06.04.2009","2,450","2,500","2,530","2,450","-","3,38%"
"07.04.2009","2,580","2,470","2,580","2,460","-","5,31%"
"08.04.2009","2,560","2,490","2,560","2,470","-","-0,78%"
"09.04.2009","2,640","2,570","2,640","2,550","-","3,13%"
"16.04.2009","2,790","2,800","2,860","2,790","-","5,68%"
"17.04.2009","2,720","2,810","2,810","2,720","-","-2,51%"
"20.04.2009","2,730","2,770","2,800","2,730","-","0,37%"
"21.04.2009","2,690","2,720","2,770","2,690","-","-1,47%"
"22.04.2009","2,870","2,720","2,870","2,720","-","6,69%"
"23.04.2009","2,940","2,810","2,940","2,710","-","2,44%"
"24.04.2009","2,890","2,850","2,890","2,840","-","-1,70%"
"27.04.2009","2,880","2,760","2,880","2,750","-","-0,35%"
"28.04.2009","2,710","2,780","2,810","2,710","-","-5,90%"
"29.04.2009","2,840","2,770","2,840","2,740","-","4,80%"
"30.04.2009","2,880","2,850","2,880","2,830","-","1,41%"
"05.05.2009","2,810","2,900","2,910","2,810","-","-2,43%"
"06.05.2009","2,910","2,830","2,910","2,830","-","3,56%"
"07.05.2009","2,950","2,970","3,020","2,950","-","1,37%"
"08.05.2009","2,960","3,000","3,000","2,960","-","0,34%"
"14.05.2009","2,880","2,870","2,880","2,830","-","-2,70%"
"15.05.2009","2,940","2,880","2,940","2,860","-","2,08%"
"18.05.2009","2,950","2,860","2,950","2,860","-","0,34%"
"19.05.2009","3,000","2,960","3,000","2,960","-","1,69%"
"20.05.2009","3,050","3,000","3,050","2,980","-","1,67%"
"21.05.2009","2,980","3,030","3,030","2,980","-","-2,30%"
"22.05.2009","3,070","3,010","3,070","3,000","-","3,02%"
"25.05.2009","3,040","3,050","3,060","3,040","-","-0,98%"
"26.05.2009","3,070","3,050","3,070","3,030","-","0,99%"
"27.05.2009","3,060","3,000","3,060","3,000","-","-0,33%"
"28.05.2009","3,010","3,010","3,040","3,010","-","-1,63%"
"29.05.2009","3,010","3,030","3,060","3,010","-","0,00%"
"02.06.2009","3,080","3,090","3,110","3,080","-","2,33%"
"03.06.2009","3,070","3,090","3,170","3,070","-","-0,32%"
"04.06.2009","3,050","3,090","3,140","3,050","-","-0,65%"
"05.06.2009","3,090","3,160","3,170","3,090","-","1,31%"
"11.06.2009","3,130","3,130","3,130","3,100","-","1,29%"
"12.06.2009","3,150","3,150","3,150","3,100","-","0,64%"
"15.06.2009","3,110","3,120","3,140","3,110","-","-1,27%"
"16.06.2009","3,160","3,110","3,160","3,110","-","1,61%"
"17.06.2009","3,060","3,080","3,090","3,060","-","-3,16%"
"18.06.2009","3,130","3,050","3,130","3,040","-","2,29%"
"19.06.2009","3,150","3,110","3,150","3,110","-","0,64%"
"24.06.2009","3,210","3,140","3,210","3,090","-","1,90%"
"25.06.2009","3,130","3,190","3,210","3,130","-","-2,49%"
