"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.10.2010","2,470","2,380","2,510","2,380","1,43M","2,49%"
"29.10.2010","2,450","2,460","2,500","2,450","599,74K","-0,81%"
"01.11.2010","2,440","2,450","2,510","2,430","443,86K","-0,41%"
"02.11.2010","2,510","2,500","2,570","2,450","1,16M","2,87%"
"03.11.2010","2,530","2,540","2,560","2,500","1,12M","0,80%"
"04.11.2010","2,510","2,550","2,620","2,450","1,44M","-0,79%"
"05.11.2010","2,470","2,530","2,540","2,440","532,22K","-1,59%"
"08.11.2010","2,450","2,460","2,480","2,400","401,34K","-0,81%"
"09.11.2010","2,480","2,460","2,480","2,420","261,60K","1,22%"
"10.11.2010","2,430","2,480","2,480","2,420","443,95K","-2,02%"
"11.11.2010","2,390","2,430","2,440","2,310","1,15M","-1,65%"
"12.11.2010","2,390","2,340","2,390","2,310","433,72K","0,00%"
"15.11.2010","2,440","2,390","2,450","2,370","258,02K","2,09%"
"16.11.2010","2,380","2,420","2,430","2,360","276,44K","-2,46%"
"17.11.2010","2,380","2,350","2,380","2,310","269,73K","0,00%"
"18.11.2010","2,400","2,390","2,420","2,380","276,12K","0,84%"
"19.11.2010","2,400","2,430","2,430","2,380","120,34K","0,00%"
"22.11.2010","2,310","2,400","2,430","2,290","705,84K","-3,75%"
"23.11.2010","2,240","2,300","2,310","2,200","806,82K","-3,03%"
"24.11.2010","2,240","2,250","2,260","2,180","797,28K","0,00%"
"25.11.2010","2,240","2,250","2,250","2,180","464,33K","0,00%"
"26.11.2010","2,230","2,240","2,250","2,190","316,37K","-0,45%"
"29.11.2010","2,200","2,220","2,250","2,170","531,28K","-1,35%"
"30.11.2010","2,110","2,190","2,200","2,110","555,32K","-4,09%"
"01.12.2010","2,180","2,120","2,230","2,120","601,91K","3,32%"
"02.12.2010","2,200","2,190","2,240","2,140","605,53K","0,92%"
"03.12.2010","2,270","2,240","2,280","2,210","357,91K","3,18%"
"06.12.2010","2,260","2,250","2,270","2,210","147,18K","-0,44%"
"07.12.2010","2,240","2,270","2,290","2,220","294,05K","-0,88%"
"08.12.2010","2,240","2,250","2,250","2,220","230,25K","0,00%"
"09.12.2010","2,240","2,250","2,290","2,230","637,55K","0,00%"
"10.12.2010","2,240","2,240","2,250","2,230","135,86K","0,00%"
"13.12.2010","2,240","2,250","2,250","2,210","301,53K","0,00%"
"14.12.2010","2,240","2,250","2,250","2,210","346,95K","0,00%"
"15.12.2010","2,230","2,210","2,240","2,160","694,18K","-0,45%"
"16.12.2010","2,220","2,210","2,230","2,210","206,01K","-0,45%"
"17.12.2010","2,230","2,220","2,240","2,180","294,03K","0,45%"
"20.12.2010","2,260","2,230","2,260","2,200","393,56K","1,35%"
"21.12.2010","2,290","2,240","2,290","2,240","263,11K","1,33%"
"22.12.2010","2,300","2,280","2,300","2,250","169,75K","0,44%"
"23.12.2010","2,310","2,270","2,320","2,270","356,58K","0,43%"
"27.12.2010","2,230","2,280","2,290","2,220","291,24K","-3,46%"
"28.12.2010","2,210","2,250","2,250","2,190","238,23K","-0,90%"
"29.12.2010","2,250","2,210","2,250","2,200","365,31K","1,81%"
"30.12.2010","2,230","2,250","2,270","2,210","308,47K","-0,89%"
"03.01.2011","2,240","2,260","2,270","2,240","222,49K","0,45%"
"04.01.2011","2,250","2,290","2,290","2,250","198,34K","0,45%"
"05.01.2011","2,260","2,270","2,270","2,210","183,34K","0,44%"
"06.01.2011","2,250","2,290","2,290","2,240","292,94K","-0,44%"
"07.01.2011","2,200","2,230","2,240","2,200","184,90K","-2,22%"
"10.01.2011","2,130","2,170","2,180","2,110","384,90K","-3,18%"
"11.01.2011","2,150","2,150","2,160","2,120","492,62K","0,94%"
"12.01.2011","2,170","2,170","2,210","2,070","900,30K","0,93%"
"13.01.2011","2,180","2,180","2,210","2,160","1,04M","0,46%"
"14.01.2011","2,140","2,180","2,200","2,140","815,39K","-1,83%"
"17.01.2011","2,200","2,160","2,200","2,150","1,00M","2,80%"
"18.01.2011","2,210","2,210","2,250","2,210","447,38K","0,45%"
"19.01.2011","2,150","2,240","2,240","2,150","616,08K","-2,71%"
"20.01.2011","2,160","2,150","2,190","2,150","515,94K","0,47%"
"21.01.2011","2,180","2,170","2,210","2,150","1,25M","0,93%"
"24.01.2011","2,280","2,210","2,300","2,190","1,46M","4,59%"
"25.01.2011","2,250","2,280","2,310","2,230","393,68K","-1,32%"
"26.01.2011","2,390","2,290","2,390","2,280","1,75M","6,22%"
"27.01.2011","2,350","2,380","2,390","2,330","795,07K","-1,67%"
"28.01.2011","2,310","2,350","2,370","2,260","762,58K","-1,70%"
"31.01.2011","2,270","2,300","2,300","2,250","1,12M","-1,73%"
"01.02.2011","2,350","2,290","2,360","2,280","1,11M","3,52%"
