Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,1.864440,1.880050,1.845000,1.864440,0.501214,224890
2002-01-03,1.873620,1.876220,1.858010,1.873620,0.503682,159132
2002-01-04,1.877450,1.908670,1.877450,1.877450,0.504711,246542
2002-01-07,1.929490,1.946330,1.884030,1.929490,0.518701,241047
2002-01-08,1.930710,1.948930,1.922910,1.930710,0.519029,296666
2002-01-09,1.896890,1.935920,1.890460,1.896890,0.509937,8655742
2002-01-10,1.909900,1.922910,1.896890,1.909900,0.513435,58532
2002-01-11,1.942500,1.947700,1.909900,1.942500,0.522199,144955
2002-01-14,1.964540,1.964540,1.948930,1.964540,0.528124,151887
2002-01-15,1.935920,1.967140,1.935920,1.935920,0.520430,95733
2002-01-16,1.948930,1.948930,1.922910,1.948930,0.523927,100836
2002-01-17,1.950310,1.961940,1.932090,1.950310,0.524298,315090
2002-01-18,1.942500,1.964540,1.942500,1.942500,0.522199,119181
2002-01-21,1.942500,1.972350,1.937300,1.942500,0.522199,136416
2002-01-22,1.952750,1.961940,1.942500,1.952750,0.524954,168789
2002-01-23,1.948930,1.968370,1.943720,1.948930,0.523927,95223
2002-01-24,1.987960,1.990560,1.952750,1.987960,0.534420,217665
2002-01-25,2.032040,2.034640,1.994390,2.032040,0.546270,160994
2002-01-28,2.059440,2.059440,2.026840,2.059440,0.553635,191368
2002-01-29,2.041220,2.073670,2.041220,2.041220,0.548737,147549
2002-01-30,2.049030,2.059440,2.013830,2.049030,0.550837,505406
2002-01-31,2.052860,2.062040,2.026840,2.052860,0.551866,172376
2002-02-01,2.055460,2.065870,2.054230,2.055460,0.552565,128628
2002-02-04,2.071070,2.072300,2.055460,2.071070,0.556762,295437
2002-02-05,2.052860,2.071070,2.052860,2.052860,0.551866,157878
2002-02-06,2.058060,2.058060,2.041220,2.058060,0.553264,305878
2002-02-07,2.024230,2.058060,2.020410,2.024230,0.544170,408863
2002-02-08,2.028210,2.069690,2.026840,2.028210,0.545240,160230
2002-02-11,2.015200,2.046430,2.015200,2.015200,0.541742,259302
2002-02-12,1.981380,2.039850,1.981380,1.981380,0.532651,125721
2002-02-13,1.967140,1.981380,1.963160,1.967140,0.528823,153050
2002-02-14,1.985360,1.998370,1.970970,1.985360,0.533721,183358
2002-02-15,1.976170,2.007400,1.974950,1.976170,0.531250,189160
2002-02-18,1.987960,2.006170,1.982750,1.987960,0.534420,269925
2002-02-19,2.028210,2.052860,1.987960,2.028210,0.545240,167312
2002-02-20,2.059440,2.063260,2.006170,2.059440,0.553635,208472
2002-02-21,2.063260,2.068470,2.060660,2.063260,0.554662,327751
2002-02-22,2.072300,2.072300,2.039850,2.072300,0.557093,310680
2002-02-25,2.030820,2.095710,2.026840,2.030820,0.545942,254101
2002-02-26,2.032040,2.052860,2.019030,2.032040,0.546270,144766
2002-02-27,2.043830,2.052860,2.033420,2.043830,0.549439,188977
2002-02-28,2.056840,2.073670,2.055460,2.056840,0.552936,89330
2002-03-01,null,null,null,null,null,null
2002-03-04,null,null,null,null,null,null
2002-03-05,null,null,null,null,null,null
2002-03-06,null,null,null,null,null,null
2002-03-07,null,null,null,null,null,null
2002-03-08,null,null,null,null,null,null
2002-03-11,null,null,null,null,null,null
2002-03-12,null,null,null,null,null,null
2002-03-13,null,null,null,null,null,null
2002-03-14,null,null,null,null,null,null
2002-03-15,null,null,null,null,null,null
2002-03-18,null,null,null,null,null,null
2002-03-19,null,null,null,null,null,null
2002-03-20,null,null,null,null,null,null
2002-03-21,null,null,null,null,null,null
2002-03-22,null,null,null,null,null,null
2002-03-25,null,null,null,null,null,null
2002-03-26,null,null,null,null,null,null
2002-03-27,null,null,null,null,null,null
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,null,null,null,null,null,null
2002-04-02,2.285510,2.293320,2.245100,2.285510,0.614409,306387
2002-04-03,2.273720,2.304950,2.272500,2.273720,0.611240,1211463
2002-04-04,2.264690,2.265920,2.242500,2.264690,0.608812,245967
2002-04-05,2.273720,2.284130,2.241270,2.273720,0.611240,117424
2002-04-08,2.241270,2.273720,2.241270,2.241270,0.602516,312646
2002-04-09,2.271120,2.273720,2.247700,2.271120,0.610541,123643
2002-04-10,2.250310,2.273720,2.247700,2.250310,0.604947,298136
2002-04-11,2.247700,2.273720,2.241270,2.247700,0.604245,341132
2002-04-12,2.260710,2.273720,2.254280,2.260710,0.607743,255630
2002-04-15,2.285510,2.319180,2.260710,2.285510,0.614409,454152
2002-04-16,2.319180,2.332190,2.299740,2.319180,0.623461,593423
2002-04-17,2.325760,2.325760,2.313980,2.325760,0.625230,265737
2002-04-18,2.319180,2.325760,2.310150,2.319180,0.623461,180274
2002-04-19,2.326990,2.336170,2.295760,2.326990,0.625560,317971
2002-04-22,2.351780,2.364640,2.329590,2.351780,0.632225,891944
2002-04-23,2.380250,2.390660,2.362040,2.380250,0.639878,822064
2002-04-24,2.376430,2.384230,2.372450,2.376430,0.638851,272832
2002-04-25,2.351780,2.390660,2.338770,2.351780,0.632225,566244
2002-04-26,2.295760,2.369850,2.288110,2.295760,0.617165,636216
2002-04-29,2.260710,2.299740,2.215250,2.260710,0.607743,368088
