"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.01.2007","12,850","12,900","12,940","12,710","3,08M","1,18%"
"03.01.2007","12,660","12,850","12,860","12,600","2,74M","-1,48%"
"04.01.2007","12,450","12,590","12,720","12,380","2,33M","-1,66%"
"05.01.2007","12,200","12,360","12,360","12,070","3,70M","-2,01%"
"08.01.2007","12,190","12,170","12,280","12,150","1,93M","-0,08%"
"09.01.2007","12,450","12,220","12,500","12,220","1,97M","2,13%"
"10.01.2007","12,280","12,390","12,480","12,260","2,56M","-1,37%"
"11.01.2007","12,350","12,400","12,490","12,200","2,49M","0,57%"
"12.01.2007","12,500","12,310","12,530","12,310","1,76M","1,21%"
"15.01.2007","12,650","12,590","12,760","12,590","1,60M","1,20%"
"16.01.2007","12,430","12,640","12,740","12,360","1,31M","-1,74%"
"17.01.2007","12,520","12,560","12,630","12,450","1,25M","0,72%"
"18.01.2007","12,530","12,550","12,610","12,440","1,42M","0,08%"
"19.01.2007","12,660","12,470","12,710","12,440","1,51M","1,04%"
"22.01.2007","12,590","12,690","12,790","12,550","1,42M","-0,55%"
"23.01.2007","12,510","12,620","12,680","12,480","1,31M","-0,64%"
"24.01.2007","12,650","12,520","12,680","12,520","1,37M","1,12%"
"25.01.2007","12,570","12,700","12,700","12,500","1,20M","-0,63%"
"26.01.2007","12,370","12,510","12,530","12,280","2,26M","-1,59%"
"29.01.2007","12,490","12,390","12,500","12,310","1,08M","0,97%"
"30.01.2007","12,500","12,500","12,590","12,360","1,07M","0,08%"
"31.01.2007","12,580","12,470","12,600","12,400","1,65M","0,64%"
"01.02.2007","12,770","12,640","12,790","12,620","1,61M","1,51%"
"02.02.2007","12,770","12,830","12,900","12,740","1,28M","0,00%"
"05.02.2007","12,890","12,740","12,940","12,710","1,65M","0,94%"
"06.02.2007","13,340","12,950","13,390","12,910","3,40M","3,49%"
"07.02.2007","13,340","13,310","13,400","13,190","1,38M","0,00%"
"08.02.2007","13,440","13,350","13,500","13,320","1,93M","0,75%"
"09.02.2007","13,840","13,500","13,860","13,450","3,99M","2,98%"
"12.02.2007","13,700","13,760","13,760","13,650","2,76M","-1,01%"
"13.02.2007","13,530","13,710","13,770","13,450","2,12M","-1,24%"
"14.02.2007","13,690","13,620","13,730","13,570","1,46M","1,18%"
