"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.02.2009","13,050","13,120","13,150","13,050","-","-4,33%"
"12.02.2009","13,180","13,100","13,180","12,920","-","1,00%"
"13.02.2009","12,950","13,160","13,330","12,950","-","-1,75%"
"16.02.2009","13,180","13,030","13,180","12,950","-","1,78%"
"17.02.2009","13,190","12,980","13,190","12,970","-","0,08%"
"18.02.2009","13,370","13,010","13,370","12,650","-","1,36%"
"19.02.2009","13,000","13,240","13,510","13,000","-","-2,77%"
"20.02.2009","13,230","12,970","13,230","12,950","-","1,77%"
"25.02.2009","12,650","12,950","12,950","12,650","-","-4,38%"
"26.02.2009","13,050","12,770","13,050","12,520","-","3,16%"
"27.02.2009","12,360","12,730","12,730","12,360","-","-5,29%"
"06.03.2009","10,750","10,880","11,130","10,750","-","-13,03%"
"09.03.2009","10,410","10,510","10,530","10,410","-","-3,16%"
"10.03.2009","10,770","10,450","10,770","10,100","-","3,46%"
"11.03.2009","10,400","10,460","10,710","10,400","-","-3,44%"
"12.03.2009","11,160","10,530","11,160","10,470","-","7,31%"
"13.03.2009","10,560","11,010","11,180","10,560","-","-5,38%"
"16.03.2009","10,950","10,820","10,950","10,800","-","3,69%"
"17.03.2009","10,920","10,820","10,920","10,620","-","-0,27%"
"18.03.2009","10,750","10,810","10,970","10,750","-","-1,56%"
"19.03.2009","10,550","10,890","10,890","10,550","-","-1,86%"
"20.03.2009","10,250","10,600","10,630","10,250","-","-2,84%"
"01.04.2009","11,080","11,050","11,080","11,050","-","8,10%"
"02.04.2009","11,480","11,100","11,480","11,100","-","3,61%"
"03.04.2009","11,280","11,500","11,550","11,280","-","-1,74%"
"06.04.2009","11,520","11,430","11,520","11,380","-","2,13%"
"07.04.2009","11,450","11,550","11,740","11,450","-","-0,61%"
"08.04.2009","11,770","11,450","11,770","11,380","-","2,79%"
"09.04.2009","11,700","11,710","11,870","11,700","-","-0,59%"
"16.04.2009","11,990","11,500","11,990","11,500","-","2,48%"
"17.04.2009","12,140","11,870","12,140","11,650","-","1,25%"
"20.04.2009","11,890","12,250","12,300","11,890","-","-2,06%"
"21.04.2009","11,850","12,120","12,220","11,850","-","-0,34%"
"22.04.2009","11,980","11,890","11,980","11,280","-","1,10%"
"23.04.2009","11,980","11,790","11,980","11,750","-","0,00%"
"24.04.2009","12,570","12,270","12,570","12,260","-","4,92%"
"27.04.2009","12,580","12,450","12,580","12,400","-","0,08%"
"28.04.2009","13,210","12,430","13,210","11,950","-","5,01%"
"29.04.2009","13,290","13,080","13,290","12,970","-","0,61%"
"30.04.2009","13,480","13,240","13,480","13,090","-","1,43%"
"05.05.2009","12,980","13,330","13,340","12,980","-","-3,71%"
"06.05.2009","13,240","13,000","13,240","13,000","-","2,00%"
"07.05.2009","12,910","13,180","13,220","12,910","-","-2,49%"
"08.05.2009","13,420","13,200","13,420","13,100","-","3,95%"
"14.05.2009","13,250","13,020","13,250","13,000","-","-1,27%"
"15.05.2009","12,940","13,230","13,330","12,940","-","-2,34%"
"18.05.2009","13,370","13,020","13,370","13,020","-","3,32%"
"19.05.2009","13,530","13,280","13,530","13,280","-","1,20%"
"20.05.2009","13,030","13,450","13,460","13,030","-","-3,70%"
"21.05.2009","13,340","13,130","13,340","13,100","-","2,38%"
"22.05.2009","13,480","13,230","13,480","13,120","-","1,05%"
"25.05.2009","13,380","13,370","13,380","13,270","-","-0,74%"
"26.05.2009","13,100","13,300","13,340","13,100","-","-2,09%"
"27.05.2009","12,810","13,250","13,270","12,810","-","-2,21%"
"28.05.2009","12,840","12,880","12,950","12,840","-","0,23%"
"29.05.2009","12,710","12,900","13,020","12,710","-","-1,01%"
"02.06.2009","12,680","12,720","12,870","12,680","-","-0,24%"
"03.06.2009","12,860","12,800","12,860","12,620","-","1,42%"
"04.06.2009","12,510","12,760","12,890","12,510","-","-2,72%"
"05.06.2009","12,020","12,600","12,630","12,020","-","-3,92%"
"11.06.2009","12,560","12,440","12,560","12,430","-","4,49%"
"12.06.2009","12,330","12,480","12,570","12,330","-","-1,83%"
"15.06.2009","12,510","12,160","12,510","12,120","-","1,46%"
"16.06.2009","12,200","12,470","12,480","12,200","-","-2,48%"
"17.06.2009","12,090","12,010","12,090","11,980","-","-0,90%"
"18.06.2009","12,160","12,050","12,160","11,870","-","0,58%"
"19.06.2009","12,350","12,030","12,350","12,020","-","1,56%"
"24.06.2009","12,380","12,000","12,380","11,820","-","0,24%"
"25.06.2009","12,050","12,280","12,360","12,050","-","-2,67%"
"26.06.2009","12,500","12,250","12,500","12,250","-","3,73%"
"02.07.2009","12,480","12,590","12,670","12,480","-","-0,16%"
"03.07.2009","12,440","12,530","12,530","12,440","-","-0,32%"
"06.07.2009","12,670","12,360","12,670","12,320","-","1,85%"
"07.07.2009","12,430","12,640","12,650","12,430","-","-1,89%"
"08.07.2009","12,630","12,400","12,630","12,320","-","1,61%"
"09.07.2009","12,650","12,580","12,670","12,510","-","0,16%"
"10.07.2009","12,520","12,580","12,660","12,510","-","-1,03%"
"13.07.2009","12,680","12,450","12,700","12,430","-","1,28%"
"14.07.2009","12,610","12,680","12,690","12,570","-","-0,55%"
"15.07.2009","12,090","12,610","12,640","11,860","-","-4,12%"
"16.07.2009","12,180","12,150","12,260","12,050","-","0,74%"
"17.07.2009","12,210","12,260","12,370","12,110","-","0,25%"
"20.07.2009","12,200","12,340","12,360","12,160","-","-0,08%"
"21.07.2009","12,270","12,200","12,340","12,130","-","0,57%"
"22.07.2009","12,060","12,280","12,290","12,010","-","-1,71%"
"23.07.2009","12,210","12,110","12,320","12,100","-","1,24%"
"24.07.2009","12,070","12,290","12,300","12,060","-","-1,15%"
"28.07.2009","12,220","11,970","12,240","11,970","-","1,24%"
"29.07.2009","12,290","12,230","12,320","12,130","-","0,57%"
"30.07.2009","12,590","12,320","12,760","12,260","-","2,44%"
"31.07.2009","12,770","12,590","12,890","12,590","-","1,43%"
"03.08.2009","12,530","12,820","12,940","12,460","-","-1,88%"
"04.08.2009","12,590","12,610","12,670","12,360","-","0,48%"
"05.08.2009","12,590","12,630","12,700","12,530","-","0,00%"
"06.08.2009","12,260","12,580","12,660","12,220","-","-2,62%"
"07.08.2009","12,220","12,290","12,290","12,110","-","-0,33%"
"10.08.2009","12,350","12,280","12,360","12,230","-","1,06%"
"11.08.2009","12,320","12,380","12,470","12,300","-","-0,24%"
"12.08.2009","12,340","12,360","12,410","12,240","-","0,16%"
"13.08.2009","12,240","12,370","12,390","12,230","-","-0,81%"
"14.08.2009","12,180","12,260","12,320","12,160","-","-0,49%"
"17.08.2009","12,280","12,230","12,280","12,150","-","0,82%"
"18.08.2009","12,190","12,290","12,300","12,160","-","-0,73%"
"19.08.2009","12,200","12,190","12,270","12,130","-","0,08%"
"20.08.2009","12,160","12,290","12,360","12,140","-","-0,33%"
"21.08.2009","12,280","12,170","12,300","12,170","-","0,99%"
"24.08.2009","12,300","12,360","12,370","12,280","-","0,16%"
"25.08.2009","12,270","12,280","12,350","12,260","-","-0,24%"
"26.08.2009","12,300","12,300","12,320","12,280","-","0,24%"
"27.08.2009","12,340","12,300","12,430","12,300","-","0,33%"
"28.08.2009","12,250","12,430","12,430","12,230","-","-0,73%"
"31.08.2009","12,270","12,250","12,320","12,230","-","0,16%"
"01.09.2009","12,270","12,330","12,380","12,250","-","0,00%"
"02.09.2009","12,050","12,290","12,290","12,020","-","-1,79%"
"03.09.2009","12,040","12,080","12,130","11,960","-","-0,08%"
"04.09.2009","12,040","12,050","12,100","11,990","-","0,00%"
"07.09.2009","12,170","12,110","12,190","12,090","-","1,08%"
"08.09.2009","12,070","12,180","12,190","12,050","-","-0,82%"
"09.09.2009","12,110","12,090","12,110","12,070","-","0,33%"
"10.09.2009","12,140","12,130","12,160","12,070","-","0,25%"
"11.09.2009","12,310","12,160","12,400","12,140","-","1,40%"
"14.09.2009","12,500","12,290","12,500","12,220","-","1,54%"
"15.09.2009","12,880","12,530","12,910","12,480","-","3,04%"
"16.09.2009","13,070","12,860","13,090","12,850","-","1,48%"
"17.09.2009","12,850","13,130","13,160","12,810","-","-1,68%"
"18.09.2009","12,640","12,780","12,800","12,620","-","-1,63%"
"21.09.2009","12,780","12,630","12,800","12,610","-","1,11%"
"22.09.2009","13,090","12,830","13,140","12,830","-","2,43%"
"23.09.2009","13,200","13,120","13,270","13,050","-","0,84%"
"24.09.2009","12,950","13,220","13,270","12,910","-","-1,89%"
"25.09.2009","13,060","12,990","13,100","12,860","-","0,85%"
"28.09.2009","13,190","13,080","13,230","12,980","-","1,00%"
"29.09.2009","13,100","13,270","13,270","13,060","-","-0,68%"
"30.09.2009","13,000","13,170","13,220","12,940","-","-0,76%"
"01.10.2009","13,090","13,100","13,170","13,050","-","0,69%"
"02.10.2009","12,610","12,770","12,770","12,410","-","-3,67%"
"05.10.2009","12,680","12,490","12,760","12,490","-","0,56%"
"06.10.2009","12,750","12,680","12,810","12,610","-","0,55%"
"07.10.2009","12,550","12,780","12,800","12,510","-","-1,57%"
"08.10.2009","12,540","12,710","12,710","12,480","-","-0,08%"
"09.10.2009","12,420","12,530","12,570","12,220","-","-0,96%"
"12.10.2009","12,350","12,480","12,500","12,350","-","-0,56%"
"13.10.2009","12,020","12,350","12,390","11,990","-","-2,67%"
"14.10.2009","11,980","12,110","12,180","11,960","-","-0,33%"
"15.10.2009","11,890","12,100","12,100","10,860","-","-0,75%"
"16.10.2009","11,480","11,980","12,000","11,430","-","-3,45%"
"19.10.2009","11,490","11,620","11,630","11,470","-","0,09%"
"20.10.2009","11,380","11,540","11,560","11,260","-","-0,96%"
"21.10.2009","11,220","11,330","11,360","11,060","-","-1,41%"
"22.10.2009","11,450","11,200","11,560","11,090","-","2,05%"
"23.10.2009","11,350","11,580","11,610","11,290","-","-0,87%"
"26.10.2009","11,200","11,380","11,500","11,110","-","-1,32%"
"27.10.2009","11,220","11,230","11,310","11,100","-","0,18%"
"28.10.2009","11,100","11,230","11,240","11,020","-","-1,07%"
"29.10.2009","11,400","11,080","11,400","10,930","-","2,70%"
"30.10.2009","11,040","11,430","11,430","11,010","-","-3,16%"
"02.11.2009","11,180","11,130","11,240","11,080","-","1,27%"
"03.11.2009","11,290","11,160","11,290","11,110","-","0,98%"
"04.11.2009","11,270","11,420","11,480","11,210","-","-0,18%"
"05.11.2009","11,210","11,170","11,320","10,970","-","-0,53%"
"06.11.2009","11,210","11,240","11,310","11,100","-","0,00%"
"09.11.2009","11,340","11,350","11,410","11,330","-","1,16%"
"10.11.2009","11,520","11,400","11,570","11,350","-","1,59%"
"11.11.2009","11,660","11,610","11,750","11,590","-","1,22%"
