Date,Open,High,Low,Close,Adj Close,Volume
2001-09-17,1.286320,1.286320,1.121560,1.224780,0.326440,1125329
2001-09-18,1.191040,1.248610,1.191040,1.212870,0.323266,570828
2001-09-19,1.210890,1.250590,1.191040,1.230740,0.328029,1172113
2001-09-20,1.230740,1.236690,1.187070,1.191040,0.317447,962538
2001-09-21,1.141410,1.183100,1.042160,1.141410,0.304220,1120926
2001-09-24,1.131490,1.341900,1.131490,1.341900,0.357656,793576
2001-09-25,1.369690,1.369690,1.329990,1.363740,0.363477,5097840
2001-09-26,1.379620,1.379620,1.294260,1.333960,0.355540,1000204
2001-09-27,1.318080,1.369690,1.318080,1.359770,0.362419,2108818
2001-09-28,null,null,null,null,null,null
2001-10-01,1.345870,1.389540,1.300220,1.369690,0.365063,2220649
2001-10-02,1.381600,1.381600,1.329990,1.373660,0.366121,1040309
2001-10-03,1.369690,1.389540,1.329990,1.349840,0.359772,2837868
2001-10-04,1.405430,1.405430,1.329990,1.349840,0.359772,1109083
2001-10-05,1.339920,1.389540,1.314110,1.389540,0.370354,869171
2001-10-08,1.349840,1.359770,1.312130,1.343890,0.358186,2904929
2001-10-09,1.343890,1.389540,1.343890,1.381600,0.368237,1958133
2001-10-10,1.349840,1.403440,1.300220,1.353810,0.360830,2942872
2001-10-11,1.385570,1.427260,1.363740,1.427260,0.380407,1193432
2001-10-12,null,null,null,null,null,null
2001-10-15,1.421310,1.429250,1.359770,1.369690,0.365063,1080942
2001-10-16,null,null,null,null,null,null
2001-10-17,1.423290,1.433220,1.379620,1.389540,0.370354,4626269
2001-10-18,1.413370,1.413370,1.294260,1.320070,0.351838,1336576
2001-10-19,1.296250,1.318080,1.282350,1.294260,0.344959,1410745
2001-10-22,1.328010,1.333960,1.290290,1.290290,0.343901,1160784
2001-10-23,1.310140,1.329990,1.310140,1.318080,0.351307,810105
2001-10-24,1.314110,1.337930,1.250590,1.250590,0.333319,4531194
2001-10-25,1.268460,1.288310,1.250590,1.250590,0.333319,1717965
2001-10-26,null,null,null,null,null,null
2001-10-29,1.204930,1.230740,1.196990,1.214860,0.323796,1193286
2001-10-30,1.214860,1.220810,1.191040,1.191040,0.317447,850658
2001-10-31,1.208900,1.222800,1.193020,1.204930,0.321150,2113826
