"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.02.2009","3,890","3,860","3,890","3,860","-","-0,77%"
"12.02.2009","3,820","3,900","3,900","3,820","-","-1,80%"
"13.02.2009","3,950","3,870","3,950","3,850","-","3,40%"
"16.02.2009","3,730","3,850","3,860","3,730","-","-5,57%"
"17.02.2009","3,500","3,700","3,720","3,500","-","-6,17%"
"18.02.2009","3,500","3,550","3,560","3,500","-","0,00%"
"19.02.2009","3,510","3,540","3,580","3,510","-","0,29%"
"20.02.2009","3,280","3,470","3,470","3,280","-","-6,55%"
"25.02.2009","3,110","3,190","3,200","3,110","-","-5,18%"
"26.02.2009","3,270","3,140","3,270","3,140","-","5,14%"
"27.02.2009","3,170","3,260","3,280","3,170","-","-3,06%"
"06.03.2009","2,940","2,990","2,990","2,940","-","-7,26%"
"09.03.2009","2,980","3,000","3,000","2,980","-","1,36%"
"10.03.2009","3,170","2,990","3,170","2,990","-","6,38%"
"11.03.2009","3,380","3,260","3,380","3,260","-","6,62%"
"12.03.2009","3,450","3,380","3,450","3,280","-","2,07%"
"13.03.2009","3,470","3,520","3,540","3,470","-","0,58%"
"16.03.2009","3,430","3,500","3,510","3,430","-","-1,15%"
"17.03.2009","3,450","3,530","3,540","3,450","-","0,58%"
"18.03.2009","3,570","3,490","3,570","3,490","-","3,48%"
"19.03.2009","3,710","3,570","3,710","3,570","-","3,92%"
"20.03.2009","3,550","3,630","3,640","3,550","-","-4,31%"
"01.04.2009","3,780","3,690","3,780","3,690","-","6,48%"
"02.04.2009","3,810","3,790","3,810","3,710","-","0,79%"
"03.04.2009","3,900","3,830","3,900","3,810","-","2,36%"
"06.04.2009","3,810","3,920","3,940","3,810","-","-2,31%"
"07.04.2009","3,790","3,910","3,920","3,790","-","-0,52%"
"08.04.2009","3,840","3,710","3,840","3,710","-","1,32%"
"09.04.2009","4,110","3,870","4,110","3,860","-","7,03%"
"16.04.2009","4,370","4,340","4,370","4,320","-","6,33%"
"17.04.2009","4,400","4,370","4,400","4,350","-","0,69%"
"20.04.2009","4,280","4,400","4,400","4,280","-","-2,73%"
"21.04.2009","4,120","4,310","4,320","4,120","-","-3,74%"
"22.04.2009","4,310","4,160","4,310","4,160","-","4,61%"
"23.04.2009","4,250","4,320","4,320","4,250","-","-1,39%"
"24.04.2009","4,320","4,320","4,320","4,310","-","1,65%"
"27.04.2009","4,270","4,210","4,270","4,210","-","-1,16%"
"28.04.2009","4,140","4,240","4,240","4,140","-","-3,04%"
"29.04.2009","4,320","4,210","4,320","4,210","-","4,35%"
"30.04.2009","4,400","4,350","4,400","4,330","-","1,85%"
"05.05.2009","4,520","4,390","4,520","4,380","-","2,73%"
"06.05.2009","4,550","4,480","4,550","4,470","-","0,66%"
"07.05.2009","4,680","4,560","4,680","4,550","-","2,86%"
"08.05.2009","4,770","4,650","4,770","4,630","-","1,92%"
"14.05.2009","4,550","4,540","4,550","4,520","-","-4,61%"
"15.05.2009","4,520","4,520","4,560","4,520","-","-0,66%"
"18.05.2009","4,570","4,490","4,570","4,460","-","1,11%"
"19.05.2009","4,630","4,560","4,630","4,560","-","1,31%"
"20.05.2009","4,590","4,620","4,660","4,590","-","-0,86%"
"21.05.2009","4,550","4,580","4,600","4,550","-","-0,87%"
"22.05.2009","4,620","4,530","4,620","4,530","-","1,54%"
"25.05.2009","4,560","4,530","4,560","4,530","-","-1,30%"
"26.05.2009","4,630","4,600","4,630","4,530","-","1,54%"
"27.05.2009","4,630","4,580","4,630","4,580","-","0,00%"
"28.05.2009","4,550","4,610","4,610","4,550","-","-1,73%"
"29.05.2009","4,570","4,530","4,570","4,530","-","0,44%"
"02.06.2009","4,680","4,600","4,680","4,590","-","2,41%"
"03.06.2009","4,540","4,660","4,660","4,540","-","-2,99%"
"04.06.2009","4,520","4,550","4,590","4,520","-","-0,44%"
"05.06.2009","4,600","4,560","4,600","4,550","-","1,77%"
"11.06.2009","4,610","4,560","4,610","4,560","-","0,22%"
"12.06.2009","4,630","4,610","4,630","4,590","-","0,43%"
"15.06.2009","4,550","4,540","4,550","4,510","-","-1,73%"
"16.06.2009","4,490","4,500","4,530","4,490","-","-1,32%"
"17.06.2009","4,330","4,370","4,370","4,330","-","-3,56%"
"18.06.2009","4,380","4,360","4,380","4,290","-","1,15%"
"19.06.2009","4,380","4,340","4,380","4,340","-","0,00%"
"24.06.2009","4,350","4,260","4,350","4,240","-","-0,68%"
"25.06.2009","4,260","4,340","4,370","4,260","-","-2,07%"
"26.06.2009","4,330","4,360","4,400","4,330","-","1,64%"
"02.07.2009","4,350","4,460","4,460","4,350","-","0,46%"
"03.07.2009","4,350","4,370","4,380","4,350","-","0,00%"
"06.07.2009","4,260","4,310","4,310","4,260","-","-2,07%"
"07.07.2009","4,310","4,290","4,310","4,280","-","1,17%"
"08.07.2009","4,200","4,280","4,290","4,200","-","-2,55%"
"09.07.2009","4,210","4,200","4,250","4,180","-","0,24%"
"10.07.2009","4,160","4,190","4,200","4,150","-","-1,19%"
"13.07.2009","4,250","4,130","4,260","4,100","-","2,16%"
"14.07.2009","4,270","4,240","4,320","4,220","-","0,47%"
"15.07.2009","4,370","4,280","4,380","4,280","-","2,34%"
"16.07.2009","4,450","4,370","4,450","4,350","-","1,83%"
"17.07.2009","4,460","4,450","4,490","4,420","-","0,22%"
"20.07.2009","4,460","4,460","4,470","4,450","-","0,00%"
"21.07.2009","4,460","4,460","4,480","4,450","-","0,00%"
"22.07.2009","4,470","4,470","4,470","4,430","-","0,22%"
"23.07.2009","4,530","4,490","4,530","4,450","-","1,34%"
"24.07.2009","4,530","4,540","4,570","4,510","-","0,00%"
"28.07.2009","4,580","4,590","4,610","4,580","-","1,10%"
"29.07.2009","4,620","4,580","4,630","4,570","-","0,87%"
"30.07.2009","4,650","4,620","4,660","4,590","-","0,65%"
"31.07.2009","4,660","4,650","4,670","4,640","-","0,22%"
"03.08.2009","4,710","4,670","4,710","4,670","-","1,07%"
"04.08.2009","4,740","4,710","4,740","4,670","-","0,64%"
"05.08.2009","4,700","4,740","4,770","4,700","-","-0,84%"
"06.08.2009","4,770","4,720","4,800","4,720","-","1,49%"
"07.08.2009","4,870","4,790","4,880","4,770","-","2,10%"
"10.08.2009","4,880","4,860","4,880","4,850","-","0,21%"
