"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.01.2000","7,310","7,387","7,413","7,227","11,85M","1,25%"
"04.01.2000","7,137","7,220","7,259","7,072","11,87M","-2,37%"
"05.01.2000","6,963","7,002","7,092","6,905","12,58M","-2,44%"
"07.01.2000","7,272","7,015","7,291","7,008","12,94M","4,44%"
"10.01.2000","7,207","7,336","7,336","7,143","9,09M","-0,89%"
"11.01.2000","6,963","7,194","7,207","6,841","20,61M","-3,39%"
"12.01.2000","6,899","6,886","6,899","6,783","16,24M","-0,92%"
"13.01.2000","6,841","6,938","6,944","6,751","14,88M","-0,84%"
"14.01.2000","7,021","6,873","7,072","6,822","21,22M","2,63%"
"17.01.2000","6,835","7,130","7,143","6,777","42,60M","-2,65%"
"18.01.2000","6,488","6,809","6,809","6,449","27,07M","-5,08%"
"19.01.2000","6,488","6,430","6,494","6,340","27,85M","0,00%"
"20.01.2000","6,623","6,552","6,732","6,526","15,86M","2,08%"
"21.01.2000","6,417","6,668","6,726","6,379","24,60M","-3,11%"
"24.01.2000","6,488","6,488","6,616","6,424","13,33M","1,11%"
"25.01.2000","6,488","6,424","6,501","6,385","21,35M","0,00%"
"26.01.2000","6,655","6,571","6,674","6,488","30,51M","2,57%"
"27.01.2000","6,674","6,726","6,732","6,584","67,61M","0,29%"
"28.01.2000","6,469","6,706","6,706","6,443","17,65M","-3,07%"
"31.01.2000","6,469","6,488","6,565","6,391","66,99M","0,00%"
"01.02.2000","6,546","6,578","6,597","6,443","15,69M","1,19%"
"02.02.2000","6,546","6,603","6,610","6,456","14,38M","0,00%"
"03.02.2000","6,636","6,565","6,706","6,488","15,36M","1,37%"
"04.02.2000","6,693","6,713","6,770","6,623","18,73M","0,86%"
"07.02.2000","6,899","6,770","6,899","6,726","16,80M","3,08%"
"08.02.2000","7,015","6,912","7,060","6,822","16,48M","1,68%"
"09.02.2000","6,886","7,066","7,066","6,783","14,71M","-1,84%"
"10.02.2000","6,745","6,828","6,886","6,655","12,32M","-2,05%"
"11.02.2000","6,379","6,745","6,751","6,327","23,43M","-5,43%"
"14.02.2000","6,687","6,629","6,950","6,391","36,03M","4,83%"
"15.02.2000","6,796","6,777","7,008","6,713","28,73M","1,63%"
"16.02.2000","7,137","6,957","7,156","6,848","45,37M","5,02%"
"17.02.2000","7,130","7,085","7,246","7,072","22,65M","-0,10%"
"18.02.2000","6,950","7,137","7,162","6,950","24,71M","-2,52%"
"21.02.2000","7,072","6,905","7,117","6,873","12,03M","1,76%"
"22.02.2000","6,976","7,066","7,162","6,899","15,62M","-1,36%"
"23.02.2000","7,130","7,034","7,130","6,905","12,67M","2,21%"
"24.02.2000","6,938","7,066","7,124","6,905","14,93M","-2,69%"
"25.02.2000","6,982","6,957","7,092","6,905","13,40M","0,63%"
"28.02.2000","6,944","7,002","7,040","6,893","12,85M","-0,54%"
"29.02.2000","7,002","6,976","7,130","6,944","10,10M","0,84%"
"01.03.2000","6,989","7,034","7,047","6,918","12,32M","-0,19%"
"02.03.2000","7,098","7,027","7,117","7,008","19,04M","1,56%"
"03.03.2000","7,027","7,162","7,227","7,002","22,63M","-1,00%"
"06.03.2000","7,002","7,143","7,143","7,002","16,65M","-0,36%"
"07.03.2000","6,976","7,015","7,098","6,950","13,52M","-0,37%"
"08.03.2000","7,034","6,944","7,098","6,938","12,41M","0,83%"
"09.03.2000","7,085","7,040","7,162","7,002","19,95M","0,73%"
"10.03.2000","7,188","7,156","7,188","7,047","80,77M","1,45%"
"13.03.2000","7,156","7,227","7,291","6,989","20,22M","-0,45%"
"14.03.2000","7,252","7,227","7,252","7,105","31,63M","1,34%"
"15.03.2000","7,310","7,149","7,355","7,130","45,06M","0,80%"
"16.03.2000","7,432","7,374","7,451","7,342","22,25M","1,67%"
"17.03.2000","7,618","7,522","7,708","7,464","33,04M","2,50%"
"20.03.2000","7,612","7,580","7,702","7,580","27,05M","-0,08%"
"21.03.2000","7,516","7,554","7,625","7,355","14,85M","-1,26%"
"22.03.2000","7,439","7,516","7,612","7,368","17,45M","-1,02%"
"23.03.2000","7,310","7,451","7,528","7,291","14,09M","-1,73%"
"24.03.2000","7,406","7,304","7,471","7,259","7,47M","1,31%"
"27.03.2000","7,336","7,329","7,406","7,259","8,52M","-0,95%"
"28.03.2000","7,464","7,304","7,509","7,291","10,57M","1,74%"
"29.03.2000","7,394","7,394","7,477","7,329","6,84M","-0,94%"
"30.03.2000","7,297","7,323","7,374","7,239","11,43M","-1,31%"
"31.03.2000","7,214","7,233","7,291","7,214","34,79M","-1,14%"
"03.04.2000","7,227","7,214","7,304","7,149","10,56M","0,18%"
"04.04.2000","7,304","7,252","7,451","7,246","28,42M","1,07%"
"05.04.2000","7,182","7,316","7,387","7,105","17,26M","-1,67%"
"06.04.2000","6,976","7,194","7,194","6,970","28,99M","-2,87%"
"07.04.2000","7,117","7,060","7,137","7,015","14,90M","2,02%"
"10.04.2000","7,246","7,137","7,252","7,053","11,62M","1,81%"
"11.04.2000","7,137","7,130","7,252","7,130","12,07M","-1,50%"
"12.04.2000","7,201","7,252","7,297","7,117","10,57M","0,90%"
"13.04.2000","7,374","7,188","7,406","7,175","15,77M","2,40%"
"14.04.2000","7,259","7,355","7,451","7,175","14,97M","-1,56%"
"17.04.2000","7,149","7,002","7,182","6,893","37,26M","-1,52%"
"18.04.2000","7,092","7,194","7,233","6,982","12,51M","-0,80%"
"19.04.2000","7,008","7,130","7,143","7,008","21,16M","-1,18%"
"20.04.2000","7,214","7,047","7,252","7,002","30,80M","2,94%"
"25.04.2000","7,304","7,149","7,323","7,098","15,95M","1,25%"
"26.04.2000","7,355","7,381","7,419","7,265","11,11M","0,70%"
"27.04.2000","7,175","7,355","7,355","7,111","13,04M","-2,45%"
"28.04.2000","7,368","7,227","7,387","7,182","33,22M","2,69%"
"02.05.2000","7,509","7,355","7,509","7,310","10,91M","1,91%"
