Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.386000,10.422100,10.160200,10.277600,3.003019,8430823
2000-01-04,10.151100,10.205300,9.943430,10.033700,2.931755,8443928
2000-01-05,9.844090,9.970520,9.708620,9.789900,2.860519,8944664
2000-01-06,9.789900,9.789900,9.789900,9.789900,2.860519,0
2000-01-07,9.862150,10.250500,9.853120,10.223400,2.987184,9203046
2000-01-10,10.313700,10.313700,10.042800,10.133100,2.960799,6466587
2000-01-11,10.115000,10.133100,9.618300,9.789900,2.860519,14656408
2000-01-12,9.681520,9.699590,9.537020,9.699590,2.834131,11550167
2000-01-13,9.753770,9.762800,9.491870,9.618300,2.810379,10583452
2000-01-14,9.663460,9.943430,9.591210,9.871180,2.884267,15089713
2000-01-17,10.024700,10.042800,9.527990,9.609270,2.807740,30302056
2000-01-18,9.573150,9.573150,9.067400,9.121580,2.665242,19256015
2000-01-19,9.040300,9.130620,8.913870,9.121580,2.665242,19805893
2000-01-20,9.211900,9.464770,9.175770,9.311240,2.720659,11279552
2000-01-21,9.374460,9.455740,8.968050,9.022240,2.636215,17494590
2000-01-24,9.121580,9.302210,9.031270,9.121580,2.665242,9482276
2000-01-25,9.031270,9.139650,8.977080,9.121580,2.665242,15184517
2000-01-26,9.238990,9.383490,9.121580,9.356400,2.733855,21699546
2000-01-27,9.455740,9.464770,9.257050,9.383490,2.741769,48086273
2000-01-28,9.428650,9.428650,9.058370,9.094490,2.657326,12556980
2000-01-31,9.121580,9.229960,8.986120,9.094490,2.673494,47649967
2000-02-01,10.205300,10.205300,9.058370,9.202870,2.705354,11157698
2000-02-02,9.284150,9.293180,9.076430,9.202870,2.705354,10228615
2000-02-03,9.229960,9.428650,9.121580,9.329300,2.742522,10921965
2000-02-04,9.437680,9.518960,9.311240,9.410590,2.766418,13320062
2000-02-07,9.518960,9.699590,9.455740,9.699590,2.851375,11949258
2000-02-08,9.717650,9.925370,9.591210,9.862150,2.899163,11724750
2000-02-09,9.934400,9.934400,9.537020,9.681520,2.846062,10464059
2000-02-10,9.600240,9.681520,9.356400,9.482840,2.787657,8765099
2000-02-11,9.482840,9.491870,8.895800,8.968050,2.636326,16667165
2000-02-14,9.320270,9.771840,8.986120,9.401550,2.763761,25628041
2000-02-15,9.527990,9.853120,9.437680,9.555090,2.808896,20433180
2000-02-16,9.780870,10.060800,9.627340,10.033700,2.949594,32269730
2000-02-17,9.961490,10.187300,9.943430,10.024700,2.946946,16108484
2000-02-18,10.033700,10.069900,9.771840,9.771840,2.872614,17576605
2000-02-21,9.708620,10.006600,9.663460,9.943430,2.923057,8553491
2000-02-22,9.934400,10.069900,9.699590,9.807960,2.883232,11110008
2000-02-23,9.889240,10.024700,9.708620,10.024700,2.946946,9013418
2000-02-24,9.934400,10.015700,9.708620,9.753770,2.867303,10621132
2000-02-25,9.780870,9.970520,9.708620,9.816990,2.885886,9530544
2000-02-28,9.844090,9.898270,9.690550,9.762800,2.869956,9140172
2000-02-29,9.807960,10.024700,9.762800,9.844090,2.893853,7185907
2000-03-01,9.889240,9.907310,9.726680,9.826020,2.888542,8760360
2000-03-02,9.880210,10.006600,9.853120,9.979560,2.933677,13540197
2000-03-03,10.069900,10.160200,9.844090,9.880210,2.904471,16096382
2000-03-06,10.042800,10.042800,9.844090,9.844090,2.893853,11841046
2000-03-07,9.862150,9.979560,9.771840,9.807960,2.883232,9616714
2000-03-08,9.762800,9.979560,9.753770,9.889240,2.907127,8824711
2000-03-09,9.898270,10.069900,9.844090,9.961490,2.928365,14187725
2000-03-10,10.060800,10.106000,9.907310,10.106000,2.970847,57447602
2000-03-13,10.097000,10.097000,10.097000,10.097000,2.968202,0
2000-03-14,10.160200,10.196300,9.988590,10.196300,2.997392,22498493
2000-03-15,10.051800,10.340800,10.024700,10.277600,3.021292,32052119
2000-03-16,10.367900,10.476300,10.322700,10.449200,3.071736,15828203
2000-03-17,10.575600,10.837500,10.494300,10.711100,3.148727,23498883
2000-03-20,10.656900,10.828500,10.656900,10.702100,3.146081,19236183
2000-03-21,10.620800,10.720100,10.340800,10.566600,3.106250,10564701
2000-03-22,10.566600,10.702100,10.358900,10.458200,3.074382,12408341
2000-03-23,10.476300,10.584700,10.250500,10.277600,3.021292,10020591
2000-03-24,10.268600,10.503400,10.205300,10.413100,3.061124,5316472
2000-03-27,10.304700,10.413100,10.205300,10.313700,3.031904,6060103
2000-03-28,10.268600,10.557600,10.250500,10.494300,3.084994,7520560
2000-03-29,10.395000,10.512400,10.304700,10.395000,3.055805,4865013
2000-03-30,10.295600,10.367900,10.178200,10.259500,3.015970,8129335
2000-03-31,10.169200,10.250500,10.142100,10.142100,2.981460,24745939
2000-04-03,10.142100,10.268600,10.051800,10.160200,2.986779,7512972
