"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.06.2007","28,260","28,200","29,170","27,860","-","0,21%"
"06.06.2007","27,500","28,500","28,690","27,370","-","-2,69%"
"07.06.2007","26,650","27,550","27,780","26,510","-","-3,09%"
"08.06.2007","26,840","26,480","27,200","26,000","-","0,71%"
"11.06.2007","27,070","27,260","27,290","26,840","-","0,86%"
"12.06.2007","26,710","27,000","27,300","26,500","-","-1,33%"
"13.06.2007","26,560","26,540","26,790","26,180","-","-0,56%"
"14.06.2007","27,520","26,750","27,640","26,650","-","3,61%"
"15.06.2007","28,020","27,560","28,270","27,560","-","1,82%"
"18.06.2007","27,600","28,200","28,290","27,440","-","-1,50%"
"19.06.2007","27,600","27,600","28,050","27,210","-","0,00%"
"20.06.2007","27,520","27,660","27,940","27,300","-","-0,29%"
"21.06.2007","27,320","27,250","27,420","26,700","-","-0,73%"
"22.06.2007","26,810","27,460","27,460","26,720","-","-1,87%"
"25.06.2007","26,320","26,620","26,630","26,150","-","-1,83%"
"26.06.2007","26,110","26,200","26,500","25,540","-","-0,80%"
"27.06.2007","25,940","25,840","26,180","25,730","-","-0,65%"
"28.06.2007","26,510","26,200","26,590","26,150","-","2,20%"
"29.06.2007","27,000","26,980","27,080","26,530","-","1,85%"
"02.07.2007","27,700","27,080","27,850","26,950","-","2,59%"
"03.07.2007","28,220","27,960","28,240","27,820","-","1,88%"
"04.07.2007","28,320","28,250","28,400","27,600","-","0,35%"
"05.07.2007","28,340","28,470","28,600","28,110","-","0,07%"
"06.07.2007","28,430","28,310","28,610","28,040","-","0,32%"
"09.07.2007","28,580","28,530","28,700","28,080","-","0,53%"
"10.07.2007","29,530","28,980","29,850","28,980","-","3,32%"
"11.07.2007","29,680","29,370","29,820","28,650","-","0,51%"
"12.07.2007","30,260","29,850","30,280","29,550","-","1,95%"
"13.07.2007","30,750","30,940","31,050","30,300","-","1,62%"
"16.07.2007","30,610","30,760","30,840","30,140","-","-0,46%"
"17.07.2007","30,550","30,530","30,700","30,120","-","-0,20%"
"18.07.2007","29,870","30,250","30,470","29,840","-","-2,23%"
"19.07.2007","30,450","30,090","30,750","29,920","-","1,94%"
"20.07.2007","29,950","30,470","30,580","29,910","-","-1,64%"
"23.07.2007","30,610","29,950","30,630","29,700","-","2,20%"
"24.07.2007","30,120","30,590","30,690","30,010","-","-1,60%"
"25.07.2007","29,960","29,810","30,460","29,640","-","-0,53%"
"26.07.2007","29,180","30,250","30,370","29,050","-","-2,60%"
"27.07.2007","28,790","28,830","29,500","28,470","-","-1,34%"
"30.07.2007","29,010","29,000","29,940","28,850","-","0,76%"
"31.07.2007","29,960","29,250","29,980","29,120","-","3,27%"
"01.08.2007","29,310","29,180","29,880","28,880","-","-2,17%"
"02.08.2007","29,310","29,340","29,810","29,150","-","0,00%"
"03.08.2007","28,760","29,300","29,520","28,530","-","-1,88%"
"06.08.2007","28,420","28,580","29,270","28,050","-","-1,18%"
"07.08.2007","29,470","28,740","29,550","28,680","-","3,69%"
"08.08.2007","31,080","29,500","31,190","29,450","-","5,46%"
"09.08.2007","30,880","30,980","32,790","30,660","-","-0,64%"
"10.08.2007","30,660","30,460","31,370","30,230","-","-0,71%"
"13.08.2007","29,970","30,860","30,880","29,020","-","-2,25%"
"15.08.2007","28,550","29,080","29,280","28,100","-","-4,74%"
"16.08.2007","26,200","27,440","27,470","26,100","-","-8,23%"
"17.08.2007","26,860","26,090","27,830","25,750","-","2,52%"
"20.08.2007","27,520","27,010","27,950","27,010","-","2,46%"
"21.08.2007","27,400","27,970","28,250","27,100","-","-0,44%"
"22.08.2007","28,190","27,500","28,300","27,410","-","2,88%"
